10101	0.0	0.0	0.0
10102	288.0	0.0	0.0
10103	576.0	0.0	0.0
10201	0.0	0.0	288.0
10202	288.0	0.0	288.0
10203	576.0	0.0	288.0
10301	0.0	0.0	576.0
10302	288.0	0.0	576.0
10303	576.0	0.0	576.0
20101	0.0	168.0	0.0
20102	288.0	168.0	0.0
20103	576.0	168.0	0.0
20201	0.0	168.0	288.0
20202	288.0	168.0	288.0
20203	576.0	168.0	288.0
20301	0.0	168.0	576.0
20302	288.0	168.0	576.0
20303	576.0	168.0	576.0
30101	0.0	336.0	0.0
30102	288.0	336.0	0.0
30103	576.0	336.0	0.0
30201	0.0	336.0	288.0
30202	288.0	336.0	288.0
30203	576.0	336.0	288.0
30301	0.0	336.0	576.0
30302	288.0	336.0	576.0
30303	576.0	336.0	576.0
40101	0.0	504.0	0.0
40102	288.0	504.0	0.0
40103	576.0	504.0	0.0
40201	0.0	504.0	288.0
40202	288.0	504.0	288.0
40203	576.0	504.0	288.0
40301	0.0	504.0	576.0
40302	288.0	504.0	576.0
40303	576.0	504.0	576.0
9902	288.0	168.0	288.0
9903	288.0	336.0	288.0
9904	288.0	504.0	288.0
